07-28 17:09:42.794   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.883   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.951   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.030   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.110   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.195   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.267   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.356   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.439   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.521   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.591   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.678   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.756   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.834   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:43.912   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.004   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.075   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.163   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.246   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.324   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.405   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.483   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.562   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.642   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.721   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.795   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.880   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:44.953   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.039   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.115   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.204   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.284   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
